shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,bf:language,ISO 639-3 language (041 $a),,true,,,,http://id.loc.gov/vocabulary/iso639-3,IRIstem,,,,bf:Language,
,,,bf:accompaniedBy,Language resource (041 $bdefgt),false,true,bnode,,lc:RT:bf2:LangResource,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/language.md
,,,bf:note,Language note (041 $hijkmnpqr),false,true,bnode,,lc:RT:bf2:LangNote,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/language.md
,,,bf:colorContent,Color content,false,true,,,,http://id.loc.gov/vocabulary/mcolor,IRIstem,,,,bf:ColorContent,https://bibframe.org/view/documentation-marva-manual/work-description/color-content.md
,,,bf:soundContent,Sound content,false,true,,,,http://id.loc.gov/vocabulary/msoundcontent,IRIstem,,,,bf:SoundContent,
,,,bflc:movingImageTechnique,Moving image technique,false,true,,,,http://id.loc.gov/vocabulary/mtechnique,IRIstem,,,,bflc:MovingImageTechnique,
,,,bf:duration,Duration,false,true,literal,,,,,,,,,
,,,bf:capture,Capture information,false,true,bnode,,lc:RT:bf2:Capture,,,,,,,
,,,bf:eventContentOf,Event,false,true,bnode,,lc:RT:bf2:35mmFeatureFilm:Event,,,,,,,
,,,bf:relation,Search related work/series,false,true,bnode,,lc:RT:bf2:RelWorkLookup,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/search-related-work.md
,,,bf:relation,Input transcribed series,false,true,bnode,,lc:RT:bf2:SeriesHub,,,,,,,https://bibframe.org/view/documentation-marva-manual/work-description/input-transcribed-series.md
,,,bf:hasInstance,Add BIBFRAME Instance,false,true,bnode,,lc:RT:bf2:35mmFeatureFilm:Instance,,,,,,,
lc:RT:bf2:AcqSource,Acquisition source,bf:AcquisitionSource,bf:identifiedBy,Stock number,false,true,bnode,,lc:RT:bf2:Identifiers:StockNumber,,,,,,,
,,,rdfs:label,Source of acquisition,false,true,literal,,,,,,,,,
,,,bf:note,Note,false,true,bnode,,lc:RT:bf2:NoteSimple,,,,,,,
,,,bf:acquisitionTerms,Terms of availability,false,true,literal,,,,,,,,,
lc:RT:bf2:AdminMetadata,BIBFRAME 2.0 Admin Metadata,bf:AdminMetadata,bflc:catalogerId,Your cataloger ID,false,true,literal,,,,,,,,,
,,,bflc:encodingLevel,Encoding level,true,false,,,,http://preprod.id.loc.gov/vocabulary/menclvl,IRIstem,,,,bflc:EncodingLevel,
,,,bf:status,Status (new/changed/deleted),false,false,,,,http://preprod.id.loc.gov/vocabulary/mstatus,IRIstem,,,,bf:Status,
,,,bf:assigner,Assigning agency,true,false,,,,http://preprod.id.loc.gov/vocabulary/organizations,IRIstem,,DLC,http://id.loc.gov/vocabulary/organizations/dlc,bf:Agent,
,,,bf:descriptionAuthentication,Description authentication,true,false,,,,http://preprod.id.loc.gov/vocabulary/marcauthen,IRIstem,,pcc,http://id.loc.gov/vocabulary/marcauthen/pcc,bf:DescriptionAuthentication,
